iter	Passed	Remaining
0	85	42499
1	86	21624
2	88	14700
3	90	11240
4	92	9168
5	94	7813
6	97	6860
7	99	6120
8	101	5563
9	104	5117
10	106	4732
11	108	4426
12	111	4171
13	113	3934
14	115	3740
15	117	3564
16	119	3406
17	122	3276
18	124	3156
19	127	3051
20	129	2959
21	132	2876
22	135	2811
23	138	2744
24	141	2688
25	144	2628
26	146	2574
27	149	2521
28	152	2471
29	155	2428
30	157	2387
31	160	2353
32	163	2318
33	167	2291
34	170	2260
35	173	2232
36	176	2206
37	179	2182
38	182	2160
39	186	2140
40	188	2115
41	191	2090
42	194	2066
43	197	2042
44	200	2023
45	202	2002
46	205	1983
47	208	1963
48	211	1944
49	213	1923
50	215	1901
51	218	1882
52	220	1863
53	223	1843
54	225	1825
55	228	1807
56	230	1792
57	232	1774
58	235	1758
59	237	1740
60	239	1726
61	242	1711
62	244	1697
63	246	1681
64	249	1667
65	251	1654
66	253	1640
67	256	1626
68	258	1614
69	260	1601
70	263	1589
71	265	1579
72	267	1567
73	270	1558
74	273	1548
75	275	1537
76	278	1527
77	280	1518
78	283	1511
79	286	1502
80	288	1493
81	291	1485
82	293	1476
83	296	1469
84	299	1462
85	302	1454
86	305	1449
87	307	1441
88	310	1435
89	313	1428
90	316	1422
91	319	1415
92	321	1407
93	324	1401
94	327	1396
95	330	1389
96	332	1382
97	335	1375
98	338	1370
99	340	1362
100	343	1356
101	346	1350
102	348	1343
103	351	1337
104	354	1332
105	357	1327
106	359	1320
107	362	1315
108	364	1309
109	367	1302
110	370	1296
111	372	1291
112	375	1284
113	377	1278
114	380	1272
115	382	1267
116	385	1262
117	388	1256
118	391	1252
119	393	1245
120	396	1241
121	398	1235
122	401	1230
123	404	1225
124	406	1220
125	409	1215
126	412	1210
127	415	1206
128	418	1202
129	420	1197
130	423	1192
131	426	1187
132	429	1184
133	432	1180
134	435	1176
135	438	1172
136	440	1167
137	443	1163
138	446	1158
139	448	1154
140	451	1149
141	453	1144
142	456	1140
143	459	1135
144	461	1130
145	464	1126
146	466	1121
147	470	1117
148	472	1113
149	475	1109
150	478	1104
151	480	1100
152	483	1097
153	486	1092
154	488	1088
155	491	1084
156	494	1080
157	497	1076
158	499	1071
159	502	1066
160	504	1062
161	507	1058
162	510	1054
163	512	1050
164	514	1045
165	517	1041
166	519	1036
167	522	1032
168	524	1027
169	526	1022
170	528	1017
171	530	1012
172	532	1007
173	535	1003
174	537	998
175	539	993
176	542	989
177	543	984
178	545	978
179	548	974
180	550	969
